*錒 *锕
*湻 *淳

*蒓 *莼

*蓴 *莼

*醕 *醇

*錞 *

*鶉 *鹑

*綽 *绰

*輟 *辍

*齪 *龊

*詞 *词

*辤 *辞

*餈 *糍

*辭 *辞

*鶿 *鹚

*鷀 *鹚

*賜 *赐

*囪 *囱

*怱 *匆

*從 *从

*悤 *匆

*蓯 *苁

*蔥 *葱

*樅 *枞

*瑽 *𪻐

*緫 *总

*聰 *聪

*驄 *骢

*樷 *丛

*叢 *丛

*湊 *凑

*輳 *辏

*觕 *粗

*麤 *粗

*蹵 *蹴

*攛 *撺

*躥 *蹿

*鑹 *镩

*欑 *攒

*篹 *纂

*簒 *篡

*竄 *窜

*脃 *脆

*邨 *村

*鹺 *鹾

*銼 *锉

*錯 *错

*噠 *哒

*墶 *垯

*鎝 *𨱏

*剳 *札

*達 *达

*薘 *荙

*躂 *跶

*鐽 *𫟼

*韃 *鞑

*獃 *呆

*軑 *轪

*帶 *带

*紿 *绐

*貸 *贷

*靆 *叇

*單 *单

*鄲 *郸

*擔 *担

*殫 *殚

*癉 *瘅

*簞 *箪

*紞 *

*撣 *掸

*膽 *胆

*啗 *啖

*誕 *诞

*僤 *

*噉 *啖

*彈 *弹

*憚 *惮

*當 *当

*儅 *当

*噹 *当

*璫 *珰

*襠 *裆

*簹 *筜

*擋 *挡

*黨 *党

*攩 *挡

*欓 *𣗋

*讜 *谠

*氹 *凼

*碭 *砀

*蕩 *荡

*壋 *垱

*檔 *档

*璗 *

*盪 *荡

*魛 *鱽

*島 *岛

*搗 *捣

*導 *导

*擣 *捣

*禱 *祷

*盜 *盗

*燾 *焘

*悳 *德

*鍀 *锝

*燈 *灯

*鄧 *邓

*櫈 *凳

*鐙 *镫

*隄 *堤

*磾 *䃅

*鏑 *镝

*滌 *涤

*頔 *

*敵 *敌

*糴 *籴

*覿 *觌

*牴 *抵

*觝 *抵

*詆 *诋

*遞 *递

*蔕 *蒂

*締 *缔

*諦 *谛

*螮 *䗖

*顛 *颠

*巔 *巅

*癲 *癫

*點 *点

*唸 *念

*鈿 *钿

*電 *电

*墊 *垫

*澱 *淀

*彫 *雕

*琱 *雕

*鯛 *鲷

*鵰 *雕

*弔 *吊

*釣 *钓

*蓧 *莜

*銱 *铞

*調 *调

*窵 *窎

*啑 *喋

*嵽 *

*蜨 *蝶

*諜 *谍

*曡 *叠

*鰈 *鲽

*疉 *叠

*疊 *叠

*釘 *钉

*頂 *顶

*矴 *碇

*訂 *订

*椗 *碇

*錠 *锭

*丟 *丢

*銩 *铥

*東 *东

*崬 *岽

*蝀 *

*鼕 *冬

*鶇 *鸫

*峝 *峒

*凍 *冻

*動 *动

*崠 *岽

*棟 *栋

*腖 *胨

*詷 *𫍣

*兠 *兜

*鈄 *钭

*荳 *豆

*鬥 *斗

*鬦 *斗

*竇 *窦

*鬪 *斗

*鬬 *斗

*鬭 *斗

*闍 *阇

*蝳 *玳

*獨 *独

*凟 *渎

*匵 *椟

*瀆 *渎

*櫝 *椟

*牘 *牍

*犢 *犊

*瓄 *𪻨

*讀 *读

*黷 *黩

*覩 *睹

*賭 *赌

*篤 *笃

*妬 *妒

